height,miner,signal
681418,Poolin,False
681419,ViaBTC,False
681420,AntPool,False
681421,AntPool,False
681422,ViaBTC,False
681423,ViaBTC,False
681424,EMCDPool,False
681425,AntPool,False
681426,BTC.com,False
681427,AntPool,False
681428,Foundry USA,False
681429,Binance Pool,False
681430,Poolin,False
681431,Binance Pool,False
681432,F2Pool,False
681433,BTC.com,False
681434,Binance Pool,False
681435,Huobi Pool,False
681436,Binance Pool,False
681437,Poolin,False
681438,BTC.TOP,False
681439,Poolin,False
681440,AntPool,False
681441,Binance Pool,False
681442,ViaBTC,False
681443,F2Pool,False
681444,ViaBTC,False
681445,Foundry USA,False
681446,1THash,False
681447,F2Pool,False
681448,AntPool,False
681449,AntPool,False
681450,Rawpool,False
681451,ViaBTC,False
681452,F2Pool,False
681453,AntPool,False
681454,Rawpool,False
681455,F2Pool,False
681456,ViaBTC,False
681457,AntPool,False
681458,SlushPool,True
681459,ArkPool,False
681460,Huobi Pool,False
681461,Rawpool,False
681462,Huobi Pool,False
681463,F2Pool,False
681464,1THash,False
681465,F2Pool,False
681466,F2Pool,False
681467,BTC.com,False
681468,AntPool,False
681469,AntPool,False
681470,BTC.TOP,False
681471,ViaBTC,False
681472,Huobi Pool,False
681473,F2Pool,False
681474,ViaBTC,False
681475,AntPool,False
681476,Poolin,False
681477,F2Pool,False
681478,ViaBTC,False
681479,1THash,False
681480,F2Pool,False
681481,AntPool,False
681482,Binance Pool,False
681483,Huobi Pool,False
681484,F2Pool,False
681485,F2Pool,False
681486,1THash,False
681487,ViaBTC,False
681488,Foundry USA,False
681489,BTC.com,False
681490,BTC.com,False
681491,AntPool,False
681492,Poolin,False
681493,BTC.com,False
681494,ViaBTC,False
681495,Foundry USA,False
681496,AntPool,False
681497,Huobi Pool,False
681498,AntPool,False
681499,BTC.com,False
681500,ArkPool,False
681501,Poolin,False
681502,F2Pool,False
681503,Foundry USA,False
681504,F2Pool,False
681505,AntPool,False
681506,ViaBTC,False
681507,Poolin,False
681508,Huobi Pool,False
681509,Binance Pool,False
681510,SBI Crypto,False
681511,Foundry USA,False
681512,Foundry USA,False
681513,SlushPool,True
681514,BTC.com,False
681515,F2Pool,False
681516,Poolin,False
681517,Rawpool,False
681518,Binance Pool,False
681519,Poolin,False
681520,Huobi Pool,False
681521,Rawpool,False
681522,F2Pool,False
681523,AntPool,False
681524,ViaBTC,False
681525,AntPool,False
681526,F2Pool,False
681527,Binance Pool,False
681528,AntPool,False
681529,ViaBTC,False
681530,AntPool,False
681531,ViaBTC,False
681532,SlushPool,True
681533,Rawpool,False
681534,AntPool,False
681535,Rawpool,False
681536,Huobi Pool,False
681537,F2Pool,False
681538,ViaBTC,False
681539,AntPool,False
681540,F2Pool,False
681541,F2Pool,False
681542,F2Pool,False
681543,SlushPool,True
681544,F2Pool,False
681545,Huobi Pool,False
681546,ViaBTC,False
681547,AntPool,False
681548,F2Pool,False
681549,F2Pool,False
681550,Foundry USA,True
681551,Foundry USA,True
